id,url,name,date,hour,place_name,city,street,image,lat,lon
44,https://www.trojmiasto.pl/imprezy/10-Tenorow-Potega-w-Dziesiatce-imp573849.html,10 Tenorów - Potęga w Dziesiątce,30 listopada - 1 grudnia 2025,19:00,Filharmonia Bałtycka,Gdańsk,Ołowianka 1,https://s-trojmiasto.pl/zdj/c/n/3/4017/185x260/4017857__c_0_25_600_800__kr.webp,54.3527237,18.6616097
45,https://www.trojmiasto.pl/imprezy/Twin-Peaks-Ogniu-krocz-ze-mna-Festiwal-Cinematika-imp585686.html,Twin Peaks. Ogniu krocz ze mną | Festiwal Cinematika,5 grudnia 2025,godz. 21:00,Teatr Szekspirowski,Gdańsk,Wojciecha Bogusławskiego 1,https://s-trojmiasto.pl/zdj/c/n/3/4184/185x260/4184527__c_0_51_1088_1451__kr.webp,54.3478538,18.6479094
46,https://www.trojmiasto.pl/imprezy/Skalpel-Band-Ninja-Tune-Years-Gosc-specjalny-Latarnik-imp580911.html,Skalpel Band - Ninja Tune Years. Gość specjalny: Latarnik,3 grudnia 2025,godz. 20:00,Stary Maneż,Gdańsk,Juliusza Słowackiego 23,https://s-trojmiasto.pl/zdj/c/n/3/4122/185x260/4122947__c_28_0_167_222__kr.webp,54.3807195,18.5888897
47,https://www.trojmiasto.pl/imprezy/Andrzejki-w-Klubie-PERON-5-rock-wrozby-i-magia-imp584369.html,"Andrzejki w Klubie PERON 5: rock, wróżby i magia!",29 listopada 2025,godz. 19:00,Stacja Food Hall,Gdańsk,Jana Kilińskiego 4,https://s-trojmiasto.pl/zdj/c/n/3/4168/185x260/4168162__c_143_0_525_700__kr.webp,54.3826713,18.6055201
48,https://www.trojmiasto.pl/imprezy/Alicja-Majewska-i-Wlodziemierz-Korcz-Jubileusz-50-lat-imp569849.html,"Alicja Majewska i Włodziemierz Korcz ""Jubileusz 50 lat""",2 grudnia 2025,godz. 19:00,Filharmonia Bałtycka,Gdańsk,Ołowianka 1,https://s-trojmiasto.pl/zdj/c/n/3/3952/185x260/3952228__c_0_0_552_736__kr.webp,54.3527237,18.6616097
49,https://www.trojmiasto.pl/imprezy/Arek-Jakubik-Romeo-i-Julia-zyja-imp581130.html,Arek Jakubik - Romeo i Julia żyją,4 grudnia 2025,godz. 20:00,Teatr Szekspirowski,Gdańsk,Wojciecha Bogusławskiego 1,https://s-trojmiasto.pl/zdj/c/n/3/4125/185x260/4125891__c_0_142_1707_2276__kr.webp,54.3478538,18.6479094
50,https://www.trojmiasto.pl/imprezy/Slawek-Jaskulke-Chopin-na-piec-fortepianow-imp575398.html,Sławek Jaskułke - Chopin na pięć fortepianów,30 listopada 2025,godz. 20:00,Teatr Szekspirowski,Gdańsk,Wojciecha Bogusławskiego 1,https://s-trojmiasto.pl/zdj/c/n/3/4149/185x260/4149952__c_34_0_1013_1350__kr.webp,54.3478538,18.6479094
51,https://www.trojmiasto.pl/imprezy/Teatr-Alpaka-Blyszczec-imp582970.html,Teatr Alpaka - Błyszczeć,30 listopada 2025,godz. 17:00,Oliwski Ratusz Kultury,Gdańsk,Opata Jacka Rybińskiego 25,https://s-trojmiasto.pl/zdj/c/n/3/4149/185x260/4149644__c_34_0_1013_1350__kr.webp,54.4088889,18.5592231
52,https://www.trojmiasto.pl/imprezy/Andre-Rieu-Wesolych-Swiat-Helios-na-Scenie-imp586038.html,André Rieu. Wesołych Świąt! | Helios na Scenie,3 grudnia 2025,godz. 16:00,Helios Forum Gdańsk,Gdańsk,Targ Sienny 7,https://s-trojmiasto.pl/zdj/c/n/3/4189/185x260/4189652__c_0_118_1079_1439__kr.webp,54.3505875,18.6440673
53,https://www.trojmiasto.pl/imprezy/Andrews-Angels-imp585239.html,Andrews & Angels,29 listopada 2025,godz. 22:00,Grey,Gdańsk,Wały Piastowskie 1,https://s-trojmiasto.pl/zdj/c/n/3/4179/185x260/4179327__c_0_61_1079_1439__kr.webp,54.3587415,18.6468244
54,https://www.trojmiasto.pl/imprezy/Ugly-Christmas-Sweater-Party-imp585054.html,Ugly Christmas Sweater Party,6 grudnia 2025,godz. 19:00,Stacja Food Hall,Gdańsk,Jana Kilińskiego 4,https://s-trojmiasto.pl/zdj/c/n/3/4177/185x260/4177952__c_452_0_468_624__kr.webp,54.3826713,18.6055201
55,https://www.trojmiasto.pl/imprezy/Koncert-Muzyki-Filmowej-Echo-Lat-809000-Festiwal-Cinematika-imp583428.html,Koncert Muzyki Filmowej: Echo Lat 80/90/00 | Festiwal Cinematika,6 grudnia 2025,godz. 19:00,Teatr Szekspirowski,Gdańsk,Wojciecha Bogusławskiego 1,https://s-trojmiasto.pl/zdj/c/n/3/4156/185x260/4156540__c_216_0_1289_1718__kr.webp,54.3478538,18.6479094
56,https://www.trojmiasto.pl/imprezy/Dariusz-i-Mateusz-Przygoda-Rockowa-imp581601.html,Dariusz i Mateusz: Przygoda Rockowa,4 grudnia 2025,godz. 20:00,Podwórko.art,Gdynia,Świętego Piotra 2,https://s-trojmiasto.pl/zdj/c/n/3/4132/185x260/4132552__c_0_0_552_736__kr.webp,54.5242059,18.5475325
57,https://www.trojmiasto.pl/imprezy/Garmin-Ultra-Race-Gdansk-2025-imp582339.html,Garmin Ultra Race Gdańsk 2025,6 grudnia 2025,godz. 5:00,Ergo Arena,,,https://s-trojmiasto.pl/zdj/c/n/3/4141/185x260/4141992__c_365_0_471_628__kr.webp,52.215933,19.134422
58,https://www.trojmiasto.pl/imprezy/Asaf-Avidan-imp576592.html,Asaf Avidan,2 grudnia 2025,godz. 20:00,Stary Maneż,Gdańsk,Juliusza Słowackiego 23,https://s-trojmiasto.pl/zdj/c/n/3/4057/185x260/4057898__c_0_0_552_736__kr.webp,54.3807195,18.5888897
59,https://www.trojmiasto.pl/imprezy/Recital-Pianistyczny-Piotr-Pawlak-imp584682.html,Recital Pianistyczny - Piotr Pawlak,6 - 7 grudnia 2025,godz. 18:00,Filharmonia Bałtycka,Gdańsk,Ołowianka 1,https://s-trojmiasto.pl/zdj/c/n/3/4172/185x260/4172313__c_75_0_450_600__kr.webp,54.3527237,18.6616097
60,https://www.trojmiasto.pl/imprezy/Tribute-to-Depeche-Mode-imp574762.html,Tribute to Depeche Mode by Spirit In The Forest,29 listopada 2025,godz. 19:30,Blues Club,Gdynia,Portowa 9,https://s-trojmiasto.pl/zdj/c/n/3/4032/185x260/4032941__c_50_0_300_400__kr.webp,54.5243426,18.5432729
61,https://www.trojmiasto.pl/imprezy/Sztuka-Wyboru-Live-imp585933.html,Sztuka Wyboru - Live,5 grudnia 2025,godz. 18:00,Sztuka Wyboru,Gdańsk,Juliusza Słowackiego 19,https://s-trojmiasto.pl/zdj/c/n/3/4188/185x260/4188401__c_0_0_900_1200__kr.webp,54.3812585,18.5905161
62,https://www.trojmiasto.pl/imprezy/Henry-No-Hurry-w-Pruszczu-Gdanskim-Koncert-w-mieszkaniu-imp585877.html,Henry No Hurry w Pruszczu Gdańskim! Koncert w... mieszkaniu!,29 listopada 2025,godz. 19:00,Ergo Arena,,,https://s-trojmiasto.pl/zdj/c/n/3/4187/185x260/4187498__c_220_0_204_272__kr.webp,52.215933,19.134422
63,https://www.trojmiasto.pl/imprezy/TRolling-Stones-Gdynia-imp574769.html,TRolling Stones Out Of Control Tribute to The Rolling Stones,6 grudnia 2025,godz. 19:30,Blues Club,Gdynia,Portowa 9,https://s-trojmiasto.pl/zdj/c/n/3/4178/185x260/4178069__c_0_0_720_960__kr.webp,54.5243426,18.5432729
64,https://www.trojmiasto.pl/imprezy/Rusza-Mnie-Gdansk-Mikolajkowy-Piknik-Sasiedzki-2025-imp585385.html,Rusza Mnie Gdańsk: Mikołajkowy Piknik Sąsiedzki 2025,30 listopada 2025,godz. 13:00 - 19:00,Hala Miejska,Gdańsk,Kołobrzeska 61,https://s-trojmiasto.pl/zdj/c/n/3/4181/185x260/4181301__c_0_167_4437_5916__kr.webp,54.4056485,18.5975252
65,https://www.trojmiasto.pl/imprezy/Niewyklady-muzyczne-Wielcy-kompozytorzy-zanim-byli-wielcy-Georg-Friedrich-Handel-imp581088.html,(Nie)wykłady muzyczne - Wielcy kompozytorzy zanim byli wielcy - Georg Friedrich Handel,2 grudnia 2025,"godz. 09:00, 11:15",Filharmonia Bałtycka,Gdańsk,Ołowianka 1,https://s-trojmiasto.pl/zdj/c/n/3/4125/185x260/4125381__c_125_0_750_1000__kr.webp,54.3527237,18.6616097
66,https://www.trojmiasto.pl/imprezy/Sopot-Jazz-Festival-Scena-Mamuszki-14-Elina-Duni-Rob-Luft-imp582782.html,Elina Duni & Rob Luft | Sopot Jazz Festival Scena Mamuszki 14,6 grudnia 2025,godz. 19:00,Mamuszki 14,Sopot,al. Franciszka Mamuszki 14,https://s-trojmiasto.pl/zdj/c/n/3/4150/185x260/4150049__c_0_41_824_1099__kr.webp,54.450072,18.567104
67,https://www.trojmiasto.pl/imprezy/Pub-Quiz-imp585715.html,Pub Quiz,4 grudnia 2025,godz. 18:00,Montownia,Gdańsk,Lisia Grobla 7,https://s-trojmiasto.pl/zdj/c/n/3/4186/185x260/4186141__c_364_0_473_630__kr.webp,54.35962,18.6541817
68,https://www.trojmiasto.pl/imprezy/Emigrah-Ukoja-imp585424.html,Emigrah + Ukoja,5 grudnia 2025,godz. 20:00,Desdemona,Gdynia,Antoniego Abrahama 37,https://s-trojmiasto.pl/zdj/c/n/3/4181/185x260/4181742__c_326_0_806_1075__kr.webp,54.5181696,18.5412056
69,https://www.trojmiasto.pl/imprezy/O-S-T-R-x-ELDO-imp580201.html,O.S.T.R. x ELDO,6 grudnia 2025,godz. 20:00,B90,Gdańsk,Elektryków,https://s-trojmiasto.pl/zdj/c/n/3/4112/185x260/4112748__c_0_0_552_736__kr.webp,54.3644456,18.6482802
70,https://www.trojmiasto.pl/imprezy/Koncert-10Tenorow-imp577790.html,Koncert 10Tenorów,30 listopada 2025,godz. 18:00,Filharmonia Bałtycka,Gdańsk,Ołowianka 1,https://s-trojmiasto.pl/zdj/c/n/3/4075/185x260/4075848__c_0_26_609_812__kr.webp,54.3527237,18.6616097
71,https://www.trojmiasto.pl/imprezy/Terapia-kontrastowa-kapiel-w-lodzie-sauna-oddech-imp584208.html,"Terapia kontrastowa - kąpiel w lodzie, sauna + oddech",30 listopada 2025,godz. 11:00,Thera Wellness,Sopot,Bitwy pod Płowcami 54,https://s-trojmiasto.pl/zdj/c/n/3/4166/185x260/4166630__c_3_0_1020_1361__kr.webp,54.4330507,18.5802467
72,https://www.trojmiasto.pl/imprezy/Koncert-Echo-RoduPaprodziad-Trasa-Przezyto-imp573373.html,Koncert Echo Rodu/Paprodziad - Trasa Przeżyto,29 listopada 2025,godz. 18:30,Parlament,Gdańsk,Świętego Ducha 2,https://s-trojmiasto.pl/zdj/c/n/3/4009/185x260/4009176__c_0_25_600_800__kr.webp,54.3514722,18.6485164
73,https://www.trojmiasto.pl/imprezy/Zonglerka-smyczkami-czyli-Mikolajki-z-humorem-imp581076.html,"Żonglerka smyczkami, czyli Mikołajki z humorem",6 grudnia 2025,godz. 18.00,Sala Koncertowa PFK,Sopot,Stanisława Moniuszki 12,https://s-trojmiasto.pl/zdj/c/n/3/4127/185x260/4127018__c_0_0_900_1200__kr.webp,54.445169,18.5462084
74,https://www.trojmiasto.pl/imprezy/Silentownia-Silent-Disco-imp585944.html,Silentownia - Silent Disco,6 grudnia 2025,godz. 21:00,Montownia,Gdańsk,Lisia Grobla 7,https://s-trojmiasto.pl/zdj/c/n/3/4188/185x260/4188538__c_34_0_1013_1350__kr.webp,54.35962,18.6541817
75,https://www.trojmiasto.pl/imprezy/Musicalowy-zawrot-glowy-imp581074.html,Musicalowy zawrót głowy,29 listopada 2025,godz. 18.00,Sala Koncertowa PFK,Sopot,Stanisława Moniuszki 12,https://s-trojmiasto.pl/zdj/c/n/3/4125/185x260/4125176__c_0_0_900_1200__kr.webp,54.445169,18.5462084
76,https://www.trojmiasto.pl/imprezy/Lydka-Grubasa-Bekalog-imp575099.html,"Łydka Grubasa - ""Bekalog""",5 grudnia 2025,godz. 20:00,Podwórko.art,Gdynia,Świętego Piotra 2,https://s-trojmiasto.pl/zdj/c/n/3/4132/185x260/4132898__c_43_0_750_1000__kr.webp,54.5242059,18.5475325
77,https://www.trojmiasto.pl/imprezy/Adwentowe-piesni-z-wiez-imp585329.html,Adwentowe pieśni z wież,29 listopada 2025,godz. 18:00 - 20:30,Ergo Arena,,,https://s-trojmiasto.pl/zdj/c/n/3/4180/185x260/4180986__c_154_0_376_502__kr.webp,52.215933,19.134422
78,https://www.trojmiasto.pl/imprezy/Seventeen-World-Tour-in-Japan-w-Helios-na-Scenie-imp585253.html,Seventeen World Tour in Japan w Helios na Scenie,29 listopada 2025,godz. 19:00,Helios Riviera Gdynia,Gdynia,Kazimierza Górskiego 2,https://s-trojmiasto.pl/zdj/c/n/3/4180/185x260/4180387__c_0_45_600_800__kr.webp,54.5043915,18.5317118
79,https://www.trojmiasto.pl/imprezy/Jann-Liminal-Tour-2025-imp579879.html,Jann | Liminal Tour 2025,4 grudnia 2025,godz. 20:00,B90,Gdańsk,Elektryków,https://s-trojmiasto.pl/zdj/c/n/3/4107/185x260/4107919__c_34_0_1013_1350__kr.webp,54.3644456,18.6482802
80,https://www.trojmiasto.pl/imprezy/Harpus-z-mapa-do-Sopotu-imp571372.html,Harpuś - z mapą do Sopotu!,6 grudnia 2025,godz. 10:30 - 14:00,Ergo Arena,,,https://s-trojmiasto.pl/zdj/c/n/3/3976/185x260/3976886__c_0_0_900_1200__kr.webp,52.215933,19.134422
81,https://www.trojmiasto.pl/imprezy/Muzyka-Hansa-Zimmera-imp577255.html,Muzyka Hansa Zimmera,3 grudnia 2025,godz. 19:00,Filharmonia Bałtycka,Gdańsk,Ołowianka 1,https://s-trojmiasto.pl/zdj/c/n/3/4067/185x260/4067703__c_141_0_612_817__kr.webp,54.3527237,18.6616097
82,https://www.trojmiasto.pl/imprezy/XI-Festiwal-Gdanscy-Pianisci-Miastu-imp584926.html,XI Festiwal Gdańscy Pianiści Miastu,26 - 30 listopada 2025,godz. 18:00,NCK,Gdańsk,Korzenna 33/35,https://s-trojmiasto.pl/zdj/c/n/3/4177/185x260/4177007__c_1145_0_957_1276__kr.webp,54.3539639,18.6480183
83,https://www.trojmiasto.pl/imprezy/Bonnie-Tyler-40-Years-Total-Eclipse-of-the-Heart-imp564936.html,"Bonnie Tyler - 40 Years ""Total Eclipse of the Heart""",5 grudnia 2025,godz. 20:00,Ergo Arena,Gdańsk Sopot,pl. Dwóch Miast 1,https://s-trojmiasto.pl/zdj/c/n/3/3881/185x260/3881640__c_0_0_552_736__kr.webp,54.4265278,18.5805248
84,https://www.trojmiasto.pl/imprezy/Kopciuszek-2024-Transmisja-z-Londynu-w-Helios-na-Scenie-imp583595.html,Kopciuszek (2024) Transmisja z Londynu w Helios na Scenie,30 listopada 2025,godz. 15:00,Helios Riviera Gdynia,Gdynia,Kazimierza Górskiego 2,https://s-trojmiasto.pl/zdj/c/n/3/4159/185x260/4159462__c_0_52_690_920__kr.webp,54.5043915,18.5317118
85,https://www.trojmiasto.pl/imprezy/Accantus-Live-7-imp574753.html,Accantus Live 7,30 listopada 2025,godz. 18:00,Stary Maneż,Gdańsk,Juliusza Słowackiego 23,https://s-trojmiasto.pl/zdj/c/n/3/4032/185x260/4032880__c_198_0_509_678__kr.webp,54.3807195,18.5888897
86,https://www.trojmiasto.pl/imprezy/Ktory-to-Robin-Teatr-Rzeczy-Warszawa-imp581940.html,"Który to Robin (Teatr Rzeczy, Warszawa)",30 listopada 2025,godz. 19:00,Teatr BOTO,Sopot,Bohaterów Monte Cassino 54B,https://s-trojmiasto.pl/zdj/c/n/3/4137/185x260/4137235__c_340_0_1500_1990__kr.webp,54.4439449,18.5678147
87,https://www.trojmiasto.pl/imprezy/William-Malcolm-and-the-Dracul-Affair-Festiwal-Cinematika-imp585642.html,William Malcolm and the Dracul Affair | Festiwal Cinematika,29 listopada 2025,godz. 20:00,Ulica Elektryków,Gdańsk,Elektryków,https://s-trojmiasto.pl/zdj/c/n/3/4184/185x260/4184019__c_0_0_900_1200__kr.webp,54.3644456,18.6482802
88,https://www.trojmiasto.pl/imprezy/Way2lit-Festival-imp584998.html,Way2lit Festival,5 grudnia 2025,godz. 17:00,B90,Gdańsk,Elektryków,https://s-trojmiasto.pl/zdj/c/n/3/4177/185x260/4177442__c_294_0_372_496__kr.webp,54.3644456,18.6482802
89,https://www.trojmiasto.pl/imprezy/Immortal-onion-2-koncerty-imp586059.html,Immortal onion | 2 koncerty,3 grudnia 2025,godz. 20:00,Scena Monk,Gdańsk,Garncarska 18/20,https://s-trojmiasto.pl/zdj/c/n/3/4189/185x260/4189892__c_292_0_377_502__kr.webp,54.3523334,18.6471942
90,https://www.trojmiasto.pl/imprezy/Zwierzogrod-2-mikolajkowe-seanse-z-konkursami-imp585780.html,Zwierzogród 2 - mikołajkowe seanse z konkursami,5 grudnia 2025,"godz. 16:30, 19:00",Helios Forum Gdańsk,Gdańsk,Targ Sienny 7,https://s-trojmiasto.pl/zdj/c/n/3/4186/185x260/4186740__c_1_0_398_532__kr.webp,54.3505875,18.6440673
